facility_id,facility_name,program_type,facility_status,is_active_facility,zipcode,latitude,longitude,geo_missing_flag,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,under5_capacity_current,total_capacity
623209,Learning Together with Love Day Care,GFDC,License,1,11221,40.694482,-73.912735,False,0,0,0,4,12,12,16
436306,253 HAPPY KIDS DAYCARE INC,GFDC,License,1,10457,40.854363,-73.899961,False,0,0,0,2,12,12,14
838974,"Kaba, Mariama",GFDC,License,1,10455,40.815483,-73.904693,False,0,0,0,0,8,8,8
812950,Neneadama DayCare,GFDC,License,1,10462,40.837322,-73.856323,False,0,0,0,0,12,12,12
266584,Estelita's Daycare Corp.,GFDC,License,1,11370,40.756719,-73.890111,False,0,0,0,4,12,12,16
485412,"D'Little Star Day Care, Inc",GFDC,License,1,11435,40.686606,-73.802758,False,0,0,0,4,12,12,16
597346,CLARIMAR KIDS CORP.,GFDC,License,1,11220,40.647348,-74.011331,False,0,0,0,4,12,12,16
160474,"Monheit, Neil",GFDC,License,1,11230,40.625009,-73.959237,False,0,0,0,4,12,12,16
71901,"Agoglia, Mavis",GFDC,License,1,10310,40.629725,-74.106154,False,0,0,0,2,12,12,14
759884,"Grand Street Settlement, Inc @ Tompkins Comm. Ctr.",SACC,Registration,1,11206,40.697738,-73.94609,False,0,0,0,45,0,0,45
499128,"Wilson, Earnestine",FDC,Registration,1,10030,40.818105,-73.940124,False,0,0,0,2,6,6,8
