facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cap1,cap2,cap3,cap10_cum,cap15_cum,cap20_cum,U_f_realistic,coef1,coef2,coef3,expand_low_band,expand_mid_band,expand_high_band,selected_cost_band,u_under5,expand_total,expansion_cost,under5_equipment_cost_expansion,total_expansion_related_cost
812008,Women's Housiing & Economic Development Corp.,SACC,10455,40.818113,-73.904557,205,0,20,10,11,20,30,41,41,297.5609756097561,497.5609756097561,1097.560975609756,20.0,10.0,0.0,10_15_pct,30.0,30.0,10926.829268292684,3000.0,13926.829268292684
73521,YMCA of Greater NY @Chinatown SACC IS 131,SACC,10002,40.716446,-73.993532,172,0,17,8,9,17,25,34,34,316.27906976744185,516.2790697674419,1116.2790697674418,17.0,8.0,0.0,10_15_pct,25.0,25.0,9506.976744186046,2500.0,12006.976744186046
730542,HANAC SONYC After School Program @ St. Demetrios,SACC,11102,40.765598,-73.923212,128,0,12,7,6,12,19,25,25,356.25,556.25,1156.25,12.0,7.0,0.0,10_15_pct,19.0,19.0,8168.75,1900.0,10068.75
807275,"Cherry Kids, Inc.",SACC,10035,40.798402,-73.932757,39,0,3,2,2,3,5,7,7,712.8205128205128,912.8205128205128,1512.820512820513,3.0,2.0,0.0,10_15_pct,5.0,5.0,3964.1025641025644,500.0,4464.102564102564
72812,"Police Athletic League, Inc.",SACC,10304,40.622114,-74.078513,145,0,14,7,8,14,21,29,29,337.9310344827586,537.9310344827586,1137.9310344827586,14.0,-0.0,-0.0,0_10_pct,14.0,14.0,4731.0344827586205,1400.0,6131.0344827586205
102052,St. Albans Multipurpose Community Center @ Advantage ASP,SACC,11412,40.688885,-73.759539,61,0,6,3,3,6,9,12,12,527.8688524590164,727.8688524590164,1327.8688524590164,6.0,3.0,0.0,10_15_pct,9.0,9.0,5350.819672131147,900.0,6250.819672131147
822928,"Community Counseling & Mediation Services, Inc.",SACC,10033,40.85064,-73.934555,154,0,15,8,7,15,23,30,30,329.87012987012986,529.8701298701299,1129.87012987013,15.0,8.0,0.0,10_15_pct,23.0,23.0,9187.012987012986,2300.0,11487.012987012986
768444,South Bronx Overall Economic Development Corp.,SACC,10459,40.827359,-73.898668,74,0,7,4,3,7,11,14,14,470.27027027027026,670.2702702702703,1270.2702702702702,7.0,4.0,0.0,10_15_pct,11.0,11.0,5972.972972972973,1100.0,7072.972972972973
876428,St Nicks Alliance,SACC,11221,40.693092,-73.935298,211,0,21,10,11,21,31,42,42,294.7867298578199,494.7867298578199,1094.78672985782,21.0,-0.0,-0.0,0_10_pct,21.0,21.0,6190.5213270142185,2100.0,8290.52132701422
439421,YMCA Of Greater New York,SACC,11412,40.70794,-73.754937,160,0,16,8,8,16,24,32,32,325.0,525.0,1125.0,16.0,8.0,0.0,10_15_pct,24.0,24.0,9400.0,2400.0,11800.0
757529,"New York Edge, Inc.",SACC,11420,40.675207,-73.808143,127,0,12,7,6,12,19,25,25,357.4803149606299,557.4803149606299,1157.4803149606298,12.0,7.0,0.0,10_15_pct,19.0,19.0,8192.125984251968,1900.0,10092.125984251968
840986,Young Men's Christian Association of Greater New York,SACC,11207,40.662277,-73.894594,100,0,10,5,5,10,15,20,20,400.0,600.0,1200.0,10.0,-0.0,-0.0,0_10_pct,10.0,10.0,4000.0,1000.0,5000.0
709758,Good Shepherd Services,SACC,10468,40.859565,-73.90001,213,0,21,10,11,21,31,42,42,293.8967136150235,493.8967136150235,1093.8967136150234,21.0,10.0,0.0,10_15_pct,31.0,31.0,11110.798122065728,3100.0,14210.798122065728
840392,"Divas for Social Justice, Inc.",SACC,11207,40.675086,-73.901318,162,0,16,8,8,16,24,32,32,323.4567901234568,523.4567901234568,1123.4567901234568,16.0,-0.0,-0.0,0_10_pct,16.0,16.0,5175.308641975309,1600.0,6775.308641975309
